"","amines_Phenylethylamine","amines_Putrescine","amino-acids_Glycyl-LGlutamicAcid","amino-acids_L-Arginine","amino-acids_L-Asparagine","amino-acids_L-Serine","amino-acids_L-Threonine","amino-acids_LPhenylalanine","amino-acids_gamma-AminoButyricAcid","carbohydrates_Beta-Methyl-DGlucoside","carbohydrates_D,L-alphaGlycerolPhosphate","carbohydrates_D-Cellobiose","carbohydrates_D-GalactonicAcidgamma-Lactone","carbohydrates_D-Mannitol","carbohydrates_D-Xylose","carbohydrates_Glucose-1-Phosphate","carbohydrates_N-Acetyl-DGlucosamine","carbohydrates_alpha-D-Lactose","carbohydrates_i-Erythritol","carboxylicacids_D-MalicAcid","carboxylicacids_DGalacturonicAcid","carboxylicacids_DGlucosaminicAcid","carboxylicacids_ItaconicAcid","carboxylicacids_PyruvicAcidMethylEster","carboxylicacids_alpha-KetoButyricAcid","phenoliccompound_2-HydroxyBenzoicAcid","phenoliccompound_4-HydroxyBenzoicAcid","polymers_Glycogen","polymers_Tween40","polymers_Tween80","polymers_alpha-Cyclodextrin"
"A_d5_t30_3",1.029666667,1.67500000033333,1.124666667,2.11599999966667,2.18033333366667,1.83300000033333,0.673666666333333,1.82099999966667,1.873333333,0.0976666663333333,0.411333333,0.658999999666667,1.42299999966667,2.20533333366667,1.683666667,0.000444444333333333,1.926333333,0.421999999666667,0,1.505333333,2.164333333,1.60399999966667,1.54566666633333,2.08666666633333,1.485333333,0.139444444333333,1.456666667,0.849333333,2.18399999966667,2.74699999966667,0.0616666663333333
"A_d5_t30_4",1.29999999966667,1.659333333,1.13299999966667,1.91100000033333,2.03799999966667,1.86466666633333,0.678333333666667,1.76600000033333,1.97500000033333,0.213444444666667,0.259000000333333,0.989666667,1.20033333366667,2.23999999966667,1.71299999966667,0,1.90733333366667,0.177666667,0.00155555566666667,1.69700000033333,1.96933333366667,1.59633333366667,1.31400000033333,1.60600000033333,1.523666667,0.913000000333333,1.52699999966667,0.875000000333333,2.19733333366667,2.56533333366667,0.322333333666667
"A_d5_t5_1",1.402666667,1.55200000033333,0.895666667,2.04733333366667,2.01300000033333,1.981666667,0.334333333666667,1.80100000033333,1.85733333366667,0.0510000003333333,0.215000000333333,1.056666667,1.12600000033333,2.23700000033333,2.02033333366667,0,2.09333333366667,1.03500000033333,0.436444444666667,1.92533333366667,2.073666667,1.72633333366667,1.20900000033333,1.78133333366667,0.881666667,0.222111111333333,1.72633333366667,1.015666667,2.37233333366667,2.63200000033333,0.477666667
"A_d5_t5_2",1.37233333333333,1.492,0.893333333333333,2.007,2.01433333333333,1.83133333333333,0.680333333333333,1.652,1.996,0.0563333333333333,0.257333333333333,2.05233333333333,1.13033333333333,2.19933333333333,1.87833333333333,0,2.05466666666667,1.13866666666667,0.0956666666666667,1.76433333333333,2.11333333333333,1.95066666666667,0.949,2.245,0.975666666333333,0.454666666666667,1.63133333333333,1.217,2.35966666666667,2.73266666666667,0.112333333333333
"A_d5_t5_3",1.432333333,1.60399999966667,0.938666666333333,2.01066666633333,1.98266666633333,2.01899999966667,0.666666666333333,2.222333333,2.06766666633333,0.0350000003333333,0.262000000333333,1.42866666633333,1.169333333,2.28699999966667,2.03999999966667,0.00222222233333333,2.16799999966667,1.20966666633333,0.136111111,1.98866666633333,2.10399999966667,1.92699999966667,1.29399999966667,2.417333333,0.954666667,0.581666666333333,1.76866666633333,1.393333333,2.421333333,2.558333333,0.349666666333333
"A_d5_t5_4",1.69800000033333,1.51133333366667,0.836000000333333,2.01633333366667,2.01633333366667,1.64300000033333,0.472000000333333,2.00000000033333,1.90400000033333,0.051666667,0.311333333666667,1.875666667,1.05833333366667,2.244666667,2.111666667,0,2.06933333366667,1.137666667,0.211444444666667,2.04200000033333,2.099666667,1.76900000033333,1.19933333366667,1.664666667,0.945666667,0.131444444666667,1.522666667,1.168666667,2.392666667,2.66633333366667,0.461000000333333
"AxB_d5_t15_1",1.61733333366667,1.47133333366667,1.23100000033333,2.28633333366667,1.99233333366667,1.90000000033333,1.95800000033333,1.84300000033333,1.866666667,0.0340000003333333,0.419333333666667,0.693000000333333,1.24733333366667,2.38233333366667,1.85800000033333,0.000555555666666667,2.330666667,0.180333333666667,0.113000000333333,1.89233333366667,1.965666667,1.924666667,0.671666667,1.75500000033333,1.033666667,0.388111111333333,1.66633333366667,0.245666667,2.39433333366667,2.632666667,0.300000000333333
"AxB_d5_t15_2",2.47600000033333,0.987666667,0.962333333666667,2.311666667,2.34800000033333,2.377666667,1.90500000033333,2.49733333366667,2.13200000033333,0.056666667,0.883666667,0.159333333666667,0.729333333666667,2.331666667,1.52033333366667,0.001888889,2.539666667,0.0623333336666667,0.122666667,1.71700000033333,1.978666667,1.815666667,0.742000000333333,2.173666667,1.03133333366667,0.887111111333333,1.793666667,0.935000000333333,2.43200000033333,2.718666667,0.761666667
"AxB_d5_t15_3",1.15133333366667,0.894000000333333,0.979666667,2.25000000033333,2.338666667,1.75200000033333,1.95466666666667,2.126666667,2.058666667,0.0230000003333333,0.249666667,0.243666667,1.11533333366667,2.317,1.24333333366667,0.005777778,1.866666667,0.0653333336666667,0.119000000333333,1.751666667,2.14833333366667,1.736666667,0.640333333666667,1.95100000033333,0.920333333333333,1.07233333366667,1.51933333366667,0.460666667,2.46633333366667,2.66800000033333,0.254000000333333
"AxB_d5_t15_4",1.875,1.33666666666667,1.00433333333333,2.19766666666667,1.94,1.82066666666667,2.01400000033333,2.28966666666667,2.26,0.035666667,0.302666666666667,0.588,1.149,2.388666667,1.251,0.002,1.98333333333333,0.611,0.112,1.91133333333333,2.24266666666667,1.782,0.753333333333333,1.88266666666667,1.109666667,0.367666666666667,1.595,0.927333333333333,2.34,2.54233333333333,0.0493333333333333
