,amines_Phenylethylamine,amines_Putrescine,amino-acids_Glycyl-LGlutamicAcid,amino-acids_L-Arginine,amino-acids_L-Asparagine,amino-acids_L-Serine,amino-acids_L-Threonine,amino-acids_LPhenylalanine,amino-acids_gamma-AminoButyricAcid,carbohydrates_Beta-Methyl-DGlucoside,"carbohydrates_D,L-alphaGlycerolPhosphate",carbohydrates_D-Cellobiose,carbohydrates_D-GalactonicAcidgamma-Lactone,carbohydrates_D-Mannitol,carbohydrates_D-Xylose,carbohydrates_Glucose-1-Phosphate,carbohydrates_N-Acetyl-DGlucosamine,carbohydrates_alpha-D-Lactose,carbohydrates_i-Erythritol,carboxylicacids_D-MalicAcid,carboxylicacids_DGalacturonicAcid,carboxylicacids_DGlucosaminicAcid,carboxylicacids_ItaconicAcid,carboxylicacids_PyruvicAcidMethylEster,carboxylicacids_alpha-KetoButyricAcid,phenoliccompound_2-HydroxyBenzoicAcid,phenoliccompound_4-HydroxyBenzoicAcid,polymers_Glycogen,polymers_Tween40,polymers_Tween80,polymers_alpha-Cyclodextrin
AxB_d3_t15_3,2.304333334,0.281444445,0.475333334,1.656333334,2.443,0.484,2.036,0.718333334,1.994666667,0.041,0.022,1.961333334,0.002888889,1.636666667,1.225666667,0.179555556,1.493,0.101,0.005555556,1.33,1.957666667,1.131111111,0.478666667,1.922,0.837,0.014888889,1.813,0.977666667,2.307,1.566333334,0.230777778
AxB_d3_t15_4,1.181333334,0.993,0.087333334,1.730333334,2.047333334,0.884,1.181666667,0.917666667,1.187333334,0.663666667,0.250777778,1.86,0.024444445,1.900333334,1.503333334,0.008666667,1.533,0.032333334,0.058555556,1.214333334,0.67,0.829333334,0.144333334,1.436666667,0.301,0.119555556,1.488,0.468444445,2.005666667,1.479666667,0.430333334
AxB_d3_t1_1,2.854333333,1.622333333,0.364666666,1.877666666,2.584666666,1.677666666,2.023666666,2.591666666,2.520666666,1.387,1.037,1.951333333,0.020333333,2.491666666,1.137666666,0.095333333,2.026666666,0.311333333,0.051333333,1.788,1.988333333,1.141666666,0.901,1.889666666,0.918,1.193666666,2.681,1.212,2.183666666,1.534333333,0.799666666
AxB_d3_t1_2,1.542,1.479666667,0.382,1.363666667,2.452333333,1.263666667,2.067,2.388333333,2.692,1.244333333,0.256,2.049333333,0.166,2.669,1.612333333,0.324,1.710333333,0.493,0.077333333,1.553,1.889333333,1.900666667,0.290333333,1.612666667,0.699666667,0.328666667,1.804666667,1.220333333,1.935666667,1.474333333,0.728333333
AxB_d3_t1_3,1.864666667,1.492666667,0.294333334,2.005,2.634,1.894333334,2.072,1.176666667,2.501,0.818333334,0.814666667,1.798333334,0.583666667,2.584333334,0.566666667,0.082666667,2.099333334,0.738,0.035,1.692333334,1.914666667,2.315333334,1.163666667,1.895333334,0.457333334,0.445,2.433333334,1.024,2.394666667,2.610666667,0.760333333
AxB_d3_t1_4,2.370666666,1.670333333,0.347,2.092333333,2.506666666,1.078666666,2.072666667,1.904666666,2.497666667,0.866,1.150666666,1.698666666,0.735,2.529,1.602555555,0.268333333,1.626333333,0.512,0.046333333,1.769,1.873666666,2.701,1.830333333,2.020666666,0.554,1.213,2.387666666,1.583333333,2.371,2.063333333,0.824333333
AxB_d3_t30_1,2.304666666,1.035333333,0.071333333,1.561,2.643,1.235666667,2.216666667,2.223333333,2.044,1.136,0.407666667,2.139,0.393666667,2.467666667,0.385666667,0.042333333,2.266333333,0.150333333,0.029111111,1.652,2.241666667,1.749,0.674333333,1.735333333,1.058666667,1.193,2.505333333,0.040666667,2.220333333,2.310666667,0.101
AxB_d3_t30_2,2.345333333,1.166,0.668333333,2.682333333,2.799333333,1.623333333,2.048666666,2.324666666,2.071,1.661333333,0.800555555,2.024333333,0.817,2.783,1.023666666,0.163888889,2.667666667,0.517,0.054,1.789333333,2.005333333,2.324666666,1.224666666,2.005333333,1.285333333,0.423555555,1.998333333,0.830888889,2.427,2.325,0.251111111
AxB_d3_t30_3,2.209666667,1.642333333,1.131666667,2.266,2.596333333,1.108666667,2.343,2.199333333,2.634333333,1.126,1.000666667,2.186666667,1.169,2.733666667,1.055333333,0.248666667,2.774333333,0.215666667,0.031666667,1.379333333,2.454666667,2.788333333,2.138,2.127333333,1.543666667,1.864333333,2.518333333,0.760666667,2.495333333,2.093666667,0.001
AxB_d3_t30_4,2.423666666,1.184666666,0.856,2.417,2.494666667,0.839333333,2.26,2.230666666,2.432666667,1.648,0.905666667,1.944333333,1.015333333,2.528666667,0.59,0.624666667,2.605333333,0.126333333,0,1.928666667,2.312666667,2.156,1.121,2.500333333,0.775,0.046666667,2.492333333,0.014,2.418666666,2.413,0
AxB_d3_t5_1,2.507333333,1.987666667,0.364333333,2.384,2.497,1.794,2.23,2.643333333,2.577,1.374333333,1.445666667,1.754,0.358666667,2.305333333,1.664,0.204333333,1.698,0.326333333,0.035666667,2.000666667,1.975666667,2.548333333,1.548,2.157,0.655,1.347333333,2.596666667,0.788666667,2.513,2.417666667,0.534666667
AxB_d3_t5_2,3.219,1.796666666,0.332666667,2.308333333,2.499333333,1.039,2.208333333,2.789,2.588333333,0.582333333,0.763666666,2.276333333,1.494666666,2.967666666,2.392,0.114333333,2.420666666,0.556333333,0.025333333,1.929666666,2.165666666,2.546666666,1.879666666,2.122666666,1.029333333,1.880666666,2.511333333,1.128333333,2.464,1.668666666,0.286555555
AxB_d3_t5_3,1.412,1.421,0.282333334,1.895,2.187,1.362,2.240666667,1.714333333,2.301666667,0.810333333,0.813666667,1.743333333,0.195333333,2.008333333,1.844,0.252666667,0.894,0.352666667,0.041666667,1.838333333,2.066666667,1.074333333,0.412,1.538333333,0.921,0.579,1.207,0.546333333,2.180333333,1.281,0.479
AxB_d3_t5_4,0.844,0.825666667,0.559333334,2.173666667,2.203333334,1.386666667,2.242,2.555,2.456333334,0.696666667,0.253444445,1.325666667,0,2.533333334,0.577666667,0.304666667,1.564,0.294,0.012444445,1.788666667,2.236666667,1.124,0.286,1.425,0.924666667,1.089333334,1.707,0.849,1.797666667,1.607666667,0.11
B_d3_t15_1,2.899666667,2.351666667,0.758666667,2.140333334,2.502666667,2.699,2.219,2.730666667,2.595666667,1.912,1.512,2.478666667,1.575333334,2.922333334,1.210111111,0.242444445,2.599666667,1.761,0.305111111,2.231,2.817333334,2.546666667,0.592666667,2.332333334,0.239666667,0.637333334,2.264333334,1.665333334,2.344333334,2.442,1.046
