ID,Soil,Diversity,Time,Rep
BxC_d3_t1_1,BxC,3,1,1
BxC_d3_t1_2,BxC,3,1,2
BxC_d3_t1_3,BxC,3,1,3
BxC_d3_t1_4,BxC,3,1,4
BxC_d3_t1_5,BxC,3,1,5
BxC_d3_t30_1,BxC,3,30,1
BxC_d3_t30_2,BxC,3,30,2
BxC_d3_t30_3,BxC,3,30,3
BxC_d3_t30_4,BxC,3,30,4
BxC_d3_t30_5,BxC,3,30,5
BxC_d3_t5_1,BxC,3,5,1
BxC_d3_t5_2,BxC,3,5,2
BxC_d3_t5_3,BxC,3,5,3
BxC_d3_t5_4,BxC,3,5,4
BxC_d3_t5_5,BxC,3,5,5
BxC_d5_t15_1,BxC,5,15,1
BxC_d5_t15_2,BxC,5,15,2
BxC_d5_t15_3,BxC,5,15,3
BxC_d5_t15_4,BxC,5,15,4
BxC_d5_t15_5,BxC,5,15,5
BxC_d5_t1_1,BxC,5,1,1
BxC_d5_t1_2,BxC,5,1,2
BxC_d5_t1_3,BxC,5,1,3
BxC_d5_t1_4,BxC,5,1,4
BxC_d5_t1_5,BxC,5,1,5
BxC_d5_t30_1,BxC,5,30,1
BxC_d5_t30_2,BxC,5,30,2
BxC_d5_t30_3,BxC,5,30,3
BxC_d5_t30_4,BxC,5,30,4
BxC_d5_t30_5,BxC,5,30,5
BxC_d5_t5_1,BxC,5,5,1
BxC_d5_t5_2,BxC,5,5,2
BxC_d5_t5_3,BxC,5,5,3
BxC_d5_t5_4,BxC,5,5,4
BxC_d5_t5_5,BxC,5,5,5
C_d1_t15_1,C,1,15,1
C_d1_t15_2,C,1,15,2
C_d1_t15_3,C,1,15,3
C_d1_t15_4,C,1,15,4
C_d1_t15_5,C,1,15,5
C_d1_t1_1,C,1,1,1
C_d1_t1_2,C,1,1,2
C_d1_t1_3,C,1,1,3
C_d1_t1_4,C,1,1,4
C_d1_t1_5,C,1,1,5
C_d1_t30_1,C,1,30,1
C_d1_t30_2,C,1,30,2
C_d1_t30_3,C,1,30,3
C_d1_t30_4,C,1,30,4
C_d1_t30_5,C,1,30,5
C_d1_t5_1,C,1,5,1
C_d1_t5_2,C,1,5,2
C_d1_t5_3,C,1,5,3
C_d1_t5_4,C,1,5,4
C_d1_t5_5,C,1,5,5
C_d3_t15_1,C,3,15,1
C_d3_t15_2,C,3,15,2
C_d3_t15_3,C,3,15,3
C_d3_t15_4,C,3,15,4
C_d3_t15_5,C,3,15,5
C_d3_t1_1,C,3,1,1
C_d3_t1_2,C,3,1,2
C_d3_t1_3,C,3,1,3
C_d3_t1_4,C,3,1,4
C_d3_t1_5,C,3,1,5
C_d3_t30_1,C,3,30,1
C_d3_t30_2,C,3,30,2
C_d3_t30_3,C,3,30,3
C_d3_t30_4,C,3,30,4
C_d3_t30_5,C,3,30,5
C_d3_t5_1,C,3,5,1
C_d3_t5_2,C,3,5,2
C_d3_t5_3,C,3,5,3
C_d3_t5_4,C,3,5,4
C_d3_t5_5,C,3,5,5
C_d5_t15_1,C,5,15,1
C_d5_t15_2,C,5,15,2
C_d5_t15_3,C,5,15,3
C_d5_t15_4,C,5,15,4
C_d5_t15_5,C,5,15,5
C_d5_t1_1,C,5,1,1
C_d5_t1_2,C,5,1,2
C_d5_t1_3,C,5,1,3
C_d5_t1_4,C,5,1,4
C_d5_t1_5,C,5,1,5
C_d5_t30_1,C,5,30,1
C_d5_t30_2,C,5,30,2
C_d5_t30_3,C,5,30,3
C_d5_t30_4,C,5,30,4
C_d5_t30_5,C,5,30,5
C_d5_t5_1,C,5,5,1
C_d5_t5_2,C,5,5,2
C_d5_t5_3,C,5,5,3
C_d5_t5_4,C,5,5,4
C_d5_t5_5,C,5,5,5
