"","amines_Phenylethylamine","amines_Putrescine","amino-acids_Glycyl-LGlutamicAcid","amino-acids_L-Arginine","amino-acids_L-Asparagine","amino-acids_L-Serine","amino-acids_L-Threonine","amino-acids_LPhenylalanine","amino-acids_gamma-AminoButyricAcid","carbohydrates_Beta-Methyl-DGlucoside","carbohydrates_D,L-alphaGlycerolPhosphate","carbohydrates_D-Cellobiose","carbohydrates_D-GalactonicAcidgamma-Lactone","carbohydrates_D-Mannitol","carbohydrates_D-Xylose","carbohydrates_Glucose-1-Phosphate","carbohydrates_N-Acetyl-DGlucosamine","carbohydrates_alpha-D-Lactose","carbohydrates_i-Erythritol","carboxylicacids_D-MalicAcid","carboxylicacids_DGalacturonicAcid","carboxylicacids_DGlucosaminicAcid","carboxylicacids_ItaconicAcid","carboxylicacids_PyruvicAcidMethylEster","carboxylicacids_alpha-KetoButyricAcid","phenoliccompound_2-HydroxyBenzoicAcid","phenoliccompound_4-HydroxyBenzoicAcid","polymers_Glycogen","polymers_Tween40","polymers_Tween80","polymers_alpha-Cyclodextrin"
"A_d3_t5_2",2.14333333333333,1.82266666666667,0.374,2.43633333333333,2.22433333333333,0.519666666666667,1.326,2.31833333333333,2.50966666666667,0.477333333333333,0,0.710666666666667,0.440666666666667,1.783,0.304333333333333,0,1.28666666666667,0.114666666666667,0.00366666666666667,1.05866666666667,1.76233333333333,0.638,1.98866666666667,1.96966666666667,0.98,0,1.82666666666667,0.0206666666666667,2.25266666666667,1.67266666666667,0.0423333333333333
"A_d3_t5_3",2.069,1.775,0.398666666666667,1.81033333333333,2.23366666666667,0.676333333333333,2.01133333333333,1.746,2.42866666666667,0.225333333333333,0.000666666666666667,0.671666666666667,0.583333333333333,2.22033333333333,0.011,0.009,1.27366666666667,0.0563333333333333,0.007,1.90266666666667,1.637,1.63866666666667,1.923,1.933,1.04133333333333,0,1.90266666666667,0.0153333333333333,2.132,2.32433333333333,0.0296666666666667
"A_d3_t5_4",2.14433333333333,1.76166666666667,0.808666666666667,2.28866666666667,2.12766666666667,0.205666666666667,2.042,1.971,2.26566666666667,0.409,0,1.00566666666667,0.426666666666667,0.935,0.639333333333333,0,1.61533333333333,0.474,0.0333333333333333,0.807666666666667,1.809,0.937,1.963,1.96233333333333,1.05466666666667,0,2.00766666666667,0.0186666666666667,2.16433333333333,1.85733333333333,0.016
"AxC_d3_t15_1",2.34600000033333,1.69433333366667,0.718000000333333,2.44133333366667,2.65733333366667,2.37300000033333,0.148333333666667,1.122666667,2.50333333333333,1.60800000033333,0.690333333666667,2.01733333366667,1.392666667,2.42133333366667,1.578666667,1.43100000033333,2.19133333333333,1.838666667,1.200666667,1.93433333366667,1.56833333366667,1.585666667,2.15666666666667,1.70000000033333,0.366666667,0.107000000333333,2.24033333366667,0.0441111113333333,2.42833333366667,2.291666667,0.0745555556666667
"AxC_d3_t15_2",2.555666667,1.46166666666667,0.771666666666667,2.452,2.384,2.11633333333333,0.429666666666667,1.504,2.696666667,1.21566666666667,0.795666666666667,2.37,1.22733333333333,2.39533333333333,1.19833333333333,1.26366666666667,2.14033333366667,1.64933333333333,1.286,1.627,2.10533333333333,1.82433333333333,2.08600000033333,1.73733333333333,0.706333333333333,0.098,2.08066666666667,0.114333333333333,2.549,2.337,0.00566666666666667
"AxC_d3_t15_3",2.56400000033333,1.72500000033333,1.27233333366667,2.40433333366667,2.735666667,2.198666667,0.696666667,1.36100000033333,2.62100000033333,1.50233333366667,0.623000000333333,2.53933333366667,1.33900000033333,2.77400000033333,1.48533333366667,1.41233333366667,2.168666667,2.266666667,0.912666667,2.01233333366667,2.198666667,1.73300000033333,2.014666667,1.541666667,0.834666667,0.163666667,1.73133333366667,0.309777778,2.78700000033333,2.19633333366667,0.162111111333333
"AxC_d3_t15_4",2.74266666633333,1.61400000033333,1.347666667,2.370666667,2.47033333366667,2.273666667,1.311666667,1.696666667,2.62166666633333,1.88333333366667,1.068666667,2.599666667,1.51933333366667,2.71533333366667,1.39000000033333,1.676666667,2.29766666633333,2.45733333366667,1.757666667,1.778666667,1.93700000033333,1.82399999966667,2.11799999966667,2.21700000033333,0.893000000333333,0.112333333,2.55933333366667,0.0135555553333333,2.49600000033333,2.55233333366667,0.0287777776666667
"AxC_d3_t1_1",2.70500000033333,2.13800000033333,1.363666667,2.60300000033333,2.59733333366667,2.547666667,0.959000000333333,2.077666667,2.922666667,1.74800000033333,0.767333333666667,2.55200000033333,1.30000000033333,2.95833333366667,2.672666667,1.52100000033333,2.360666667,2.350666667,1.352666667,2.319666667,1.88433333366667,2.25300000033333,2.30933333366667,2.47133333366667,0.710666667,0.141777778,2.705666667,0.934333333666667,2.65733333366667,2.600666667,0.288666667
"AxC_d3_t1_2",2.38633333366667,1.921666667,1.292666667,2.48300000033333,2.42233333366667,2.54966666633333,0.943000000333333,1.71800000033333,2.86866666633333,2.11233333366667,0.716666667,2.59133333366667,1.380666667,3.06900000033333,2.839666667,1.73633333366667,2.429666667,2.412333333,1.18600000033333,2.58933333366667,2.002666667,1.928666667,2.10733333366667,2.63899999966667,0.731333333666667,0.277333333,2.47133333366667,0.983000000333333,2.47100000033333,2.03800000033333,0.280333333666667
"AxC_d3_t1_3",2.69099999966667,2.209333333,1.17999999966667,2.69399999966667,2.545333333,2.569333333,0.606999999666667,2.180333333,2.89466666633333,2.10266666633333,0.862999999666667,2.286333333,1.526333333,2.78366666633333,2.47266666633333,1.49399999966667,2.44366666633333,2.22799999966667,1.82799999966667,2.510333333,2.090333333,2.22166666633333,2.426333333,2.44566666633333,0.660666666333333,0.506333333,2.76299999966667,0.239222222,2.492333333,2.28499999966667,0.554555555333333
