ID,Soil,Diversity,Time,Rep
AxC_d5_T1_6,AxC,d5,1,6
BxC_d5_T1_1,BxC,d5,1,1
BxC_d5_T1_2,BxC,d5,1,2
BxC_d5_T1_3,BxC,d5,1,3
BxC_d5_T1_4,BxC,d5,1,4
BxC_d5_T1_5,BxC,d5,1,5
BxC_d5_T1_6,BxC,d5,1,6
A_d5_T5_1,A,d5,5,1
A_d5_T5_2,A,d5,5,2
A_d5_T5_3,A,d5,5,3
A_d5_T1_4,A,d5,1,4
A_d5_T5_4,A,d5,5,4
A_d5_T5_5,A,d5,5,5
B_d5_T5_1,B,d5,5,1
B_d5_T5_2,B,d5,5,2
B_d5_T5_3,B,d5,5,3
B_d5_T5_4,B,d5,5,4
B_d5_T5_5,B,d5,5,5
B_d5_T5_6,B,d5,5,6
C_d5_T5_1,C,d5,5,1
A_d5_T1_5,A,d5,1,5
C_d5_T5_2,C,d5,5,2
C_d5_T5_3,C,d5,5,3
C_d5_T5_4,C,d5,5,4
C_d5_T5_5,C,d5,5,5
C_d5_T5_6,C,d5,5,6
AxB_d5_T5_1,AxB,d5,5,1
AxB_d5_T5_2,AxB,d5,5,2
AxB_d5_T5_3,AxB,d5,5,3
AxB_d5_T5_4,AxB,d5,5,4
AxB_d5_T5_5,AxB,d5,5,5
A_d5_T1_6,A,d5,1,6
AxB_d5_T5_6,AxB,d5,5,6
AxC_d5_T5_1,AxC,d5,5,1
AxC_d5_T5_2,AxC,d5,5,2
AxC_d5_T5_3,AxC,d5,5,3
AxC_d5_T5_4,AxC,d5,5,4
AxC_d5_T5_5,AxC,d5,5,5
AxC_d5_T5_6,AxC,d5,5,6
BxC_d5_T5_1,BxC,d5,5,1
BxC_d5_T5_2,BxC,d5,5,2
BxC_d5_T5_3,BxC,d5,5,3
B_d5_T1_4,B,d5,1,4
BxC_d5_T5_4,BxC,d5,5,4
BxC_d5_T5_5,BxC,d5,5,5
BxC_d5_T5_6,BxC,d5,5,6
B_d5_T1_5,B,d5,1,5
B_d5_T1_6,B,d5,1,6
C_d5_T1_6,C,d5,1,6
AxB_d5_T1_6,AxB,d5,1,6
A_d5_T15_1,A,d5,15,1
B_d5_T15_1,B,d5,15,1
B_d5_T15_2,B,d5,15,2
B_d5_T15_3,B,d5,15,3
C_d5_T15_1,C,d5,15,1
C_d5_T15_2,C,d5,15,2
C_d5_T15_3,C,d5,15,3
C_d5_T15_4,C,d5,15,4
C_d5_T15_5,C,d5,15,5
C_d5_T15_6,C,d5,15,6
AxB_d5_T15_1,AxB,d5,15,1
AxB_d5_T15_2,AxB,d5,15,2
AxB_d5_T15_3,AxB,d5,15,3
AxB_d5_T15_4,AxB,d5,15,4
AxB_d5_T15_5,AxB,d5,15,5
AxC_d5_T15_1,AxC,d5,15,1
AxC_d5_T15_2,AxC,d5,15,2
AxC_d5_T15_3,AxC,d5,15,3
AxC_d5_T15_4,AxC,d5,15,4
AxC_d5_T15_5,AxC,d5,15,5
A_d5_T15_2,A,d5,15,2
AxC_d5_T15_6,AxC,d5,15,6
BxC_d5_T15_1,BxC,d5,15,1
BxC_d5_T15_2,BxC,d5,15,2
BxC_d5_T15_3,BxC,d5,15,3
BxC_d5_T15_4,BxC,d5,15,4
BxC_d5_T15_5,BxC,d5,15,5
A_d5_T30_1,A,d5,30,1
A_d5_T30_2,A,d5,30,2
A_d5_T30_3,A,d5,30,3
A_d5_T15_3,A,d5,15,3
A_d5_T30_4,A,d5,30,4
A_d5_T30_5,A,d5,30,5
A_d5_T30_6,A,d5,30,6
B_d5_T30_1,B,d5,30,1
B_d5_T30_2,B,d5,30,2
B_d5_T30_3,B,d5,30,3
B_d5_T30_4,B,d5,30,4
B_d5_T30_5,B,d5,30,5
B_d5_T30_6,B,d5,30,6
C_d5_T30_1,C,d5,30,1
A_d5_T15_4,A,d5,15,4
